成交日期,成交时间,代码,名称,方向,成交数量,成交均价,成交金额,币种
="2024-12-19",="23:24:17",="AMD",="美国超威",="买入",="150",="120.000",="18000.00",="美元"
="2024-12-09",="22:00:44",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="卖出",="66",="3.900",="257.40",="美元"
="2024-12-09",="22:00:44",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="卖出",="8",="3.900",="31.20",="美元"
="2024-12-09",="22:00:43",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="卖出",="800",="3.900",="3120.00",="美元"
="2024-12-09",="22:00:43",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="卖出",="3585",="3.900",="13981.50",="美元"
="2024-12-09",="22:00:42",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="卖出",="97",="3.900",="378.30",="美元"
="2024-12-09",="22:00:40",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="卖出",="28",="3.900",="109.20",="美元"
="2024-12-09",="22:00:37",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="卖出",="1000",="3.900",="3900.00",="美元"
="2024-12-09",="22:00:37",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="卖出",="25",="3.900",="97.50",="美元"
="2024-12-09",="22:00:36",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="卖出",="500",="3.900",="1950.00",="美元"
="2024-12-09",="22:00:36",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="卖出",="100",="3.900",="390.00",="美元"
="2024-12-09",="22:00:36",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="卖出",="457",="3.900",="1782.30",="美元"
="2024-12-09",="22:00:36",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="卖出",="10",="3.900",="39.00",="美元"
="2024-12-09",="22:00:36",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="卖出",="148",="3.900",="577.20",="美元"
="2024-12-09",="22:00:36",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="卖出",="50",="3.900",="195.00",="美元"
="2024-12-09",="22:00:36",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="卖出",="870",="3.900",="3393.00",="美元"
="2024-12-09",="22:00:36",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="卖出",="30",="3.900",="117.00",="美元"
="2024-12-09",="22:00:35",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="卖出",="500",="3.900",="1950.00",="美元"
="2024-12-09",="22:00:35",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="卖出",="300",="3.900",="1170.00",="美元"
="2024-11-12",="06:31:49",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="买入",="27",="2.960",="79.92",="美元"
="2024-11-12",="06:31:49",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="买入",="878",="2.960",="2598.88",="美元"
="2024-11-12",="06:31:49",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="买入",="100",="2.960",="296.00",="美元"
="2024-11-12",="06:30:46",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="买入",="22",="2.960",="65.12",="美元"
="2024-11-12",="06:27:24",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="买入",="100",="2.960",="296.00",="美元"
="2024-11-12",="06:27:24",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="买入",="100",="2.960",="296.00",="美元"
="2024-11-12",="05:34:18",="MMM",="3M公司",="卖出",="59",="131.530",="7760.27",="美元"
="2024-11-12",="05:34:18",="MMM",="3M公司",="卖出",="38",="131.550",="4998.90",="美元"
="2024-11-08",="20:47:37",="OCGN",="Ocugen Inc.",="卖出",="150",="1.190",="178.50",="美元"
="2024-11-08",="20:44:58",="OCGN",="Ocugen Inc.",="卖出",="90",="1.190",="107.10",="美元"
="2024-11-08",="20:44:41",="OCGN",="Ocugen Inc.",="卖出",="125",="1.190",="148.75",="美元"
="2024-11-08",="00:29:00",="TOELY",="TOKYO ELECTRON LTD",="买入",="96",="74.960",="7196.16",="美元"
="2024-11-07",="17:42:16",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="买入",="414",="3.520",="1457.28",="美元"
="2024-11-07",="17:42:06",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="买入",="32",="3.520",="112.64",="美元"
="2024-11-07",="17:41:14",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="买入",="13",="3.520",="45.76",="美元"
="2024-11-07",="17:40:08",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="买入",="4",="3.520",="14.08",="美元"
="2024-11-07",="17:39:22",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="买入",="109",="3.520",="383.68",="美元"
="2024-11-07",="17:39:20",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="买入",="191",="3.520",="672.32",="美元"
="2024-11-07",="17:39:18",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="买入",="9",="3.520",="31.68",="美元"
="2024-11-07",="17:39:12",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="买入",="100",="3.520",="352.00",="美元"
="2024-11-07",="17:37:51",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="买入",="64",="3.520",="225.28",="美元"
="2024-11-07",="17:37:44",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="买入",="100",="3.520",="352.00",="美元"
="2024-11-07",="17:37:43",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="买入",="170",="3.520",="598.40",="美元"
="2024-11-07",="17:37:43",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="买入",="19",="3.520",="66.88",="美元"
="2024-11-07",="17:37:41",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="买入",="500",="3.520",="1760.00",="美元"
="2024-11-07",="17:37:36",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="买入",="38",="3.520",="133.76",="美元"
="2024-11-07",="17:37:34",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="买入",="61",="3.520",="214.72",="美元"
="2024-11-07",="17:37:14",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="买入",="80",="3.520",="281.60",="美元"
="2024-11-07",="17:36:47",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="买入",="200",="3.520",="704.00",="美元"
="2024-11-07",="17:36:34",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="买入",="39",="3.520",="137.28",="美元"
="2024-11-07",="17:36:06",="SONN",="Sonnet BioTherapeutics Holdings Inc.",="买入",="50",="3.520",="176.00",="美元"